,0,1
904,APTMW,0.082
905,HCIC,9.95
906,NMTR,2.6
907,WMG,26.2
908,REBN,1.125
909,OEPWW,0.0153
910,NCV,3.68
911,PBH,58.37
912,CNK,12.49
913,AXP,154.3
914,CRT,22.0088
915,FRC,126.04
916,HWM,37.37
917,AUUD,1.14
918,CMAX,6.96
919,POW,9.99
920,ROST,95.35
921,BREZ,10.37
922,UGP,2.65
923,MTX,57.63
924,NMZ,10.32
925,CHN,11.83
926,HOFT,14.67
927,CHKEW,83.35
928,LICY,6.28
929,HTIA,21.3
930,PFSI,57.19
931,UCTT,32.25
932,LTBR,5.18
933,NMT,10.26
934,CBU,64.59
935,PWR,143.0567
936,IGTAR,0.08
937,HBM,5.425
938,FOR,13.66
939,RGCO,21.37
940,SUN,43.42
941,SNV^D,24.5048
942,BIT,14.9
943,BIGC,14.81
944,LIBYU,10.12
945,DSX^B,24.98
946,MGF,3.32
947,PFIS,56.34
948,EGF,9.88
949,PBYI,2.29
950,TER,83.35
951,CRH,39.73
952,GSBC,62.22
953,AIR,44.16
954,BNS,51.71
955,ODP,39.69
956,V,206.79
957,SEEL,0.8754
958,SONM,0.4132
959,TNGX,8.16
960,GDYN,13.83
961,DBGIW,0.0076
962,OXSQG,21.25
963,RCRT,0.6717
964,FHN^F,20.26
965,BRLT,8.29
966,BPT,14.09
967,NAN,10.14
968,HCI,42.9
969,BAH,106.02
970,LVO,0.7724
971,CG,28.78
972,PBFX,22.14
973,OLITU,10.08
974,PMGMU,9.945
975,NCV^A,21.6
976,JOF,6.13
977,DRQ,27.0676
978,ESNT,38.54
979,EHC,55.8
980,BRIV,9.86
981,ATA,10.52
982,STIXW,0.0495
983,INAQ,10.0
984,AMPGW,0.43
985,SAGA,10.03
986,ROCG,10.07
987,GSL^B,25.15
988,BLI,2.07
989,DWAC,17.07
990,CPRX,14.19
991,SDHY,14.8
992,NFJ,11.77
993,TGH^B,20.78
994,MTZ,92.75
995,VMO,9.02
996,OPNT,9.712
997,KVHI,10.31
998,COWNL,25.1201
999,NECB,13.05
1000,CRZNW,0.0172
1001,WST,246.26
1002,TBLTW,0.1301
1003,UPST,23.68
1004,TRTX^C,16.9
1005,UBA,18.72
1006,PYXS,1.88
1007,AMED,97.63
1008,ENBA,24.315
1009,SZZLW,0.2497
1010,AFRM,20.32
1011,OHAAU,9.98
1012,SGLY,2.36
1013,HR,20.035
1014,VCV,9.0
1015,CASA,3.24
1016,JEF,37.14
1017,LIN,335.06
1018,JGGCU,10.24
1019,ABIO,2.1756
1020,PCRX,52.25
1021,BZFD,1.84
1022,SUPN,34.77
1023,VLYPP,22.8
1024,ISIG,5.66
1025,PTC,116.94
1026,AUR,2.09
1027,KERN,0.0992
1028,GLAD,9.55
1029,BGRY,1.43
1030,WRBY,15.97
1031,CGBD,12.62
1032,GTES,11.9
1033,CINT,8.43
1034,XPON,1.93
1035,NVSA,9.96
1036,EFC^B,19.12
1037,NDRA,0.2502
1038,SAR,22.64
1039,TWLO,52.56
1040,FREQ,1.67
1041,AXTA,26.08
1042,ISSC,9.38
1043,ALTR,48.98
1044,UGRO,3.93
1045,HL,5.005
1046,PLMIU,9.9501
1047,WDFC,163.16
1048,BAP,157.09
1049,OSIS,81.84
1050,MRBK,31.26
1051,ROL,42.01
1052,FRC^J,19.145
1053,SSBK,29.45
1054,NVFY,0.6314
1055,RIOT,7.05
1056,HFBL,18.91
1057,NXC,13.09
1058,AQNA,23.6464
1059,LGSTU,10.1999
1060,APEI,13.0
